"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CCSF-390-U1557-AB-20220529-Shipboard2 (m)","Magnetic susceptibility (instr. units)","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Sample comments","Test comments","Result comments"
"390C","U1557","B","2","H","5","","40.0","10.000","14.460","26.88","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","42.5","10.025","14.485","27.36","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","45.0","10.050","14.510","27.96","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","47.5","10.075","14.535","28.13","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","50.0","10.100","14.560","28.63","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","52.5","10.125","14.585","29.12","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","55.0","10.150","14.610","28.59","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","57.5","10.175","14.635","28.21","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","60.0","10.200","14.660","28.37","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","62.5","10.225","14.685","29.22","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","65.0","10.250","14.710","29.93","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","67.5","10.275","14.735","29.31","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","70.0","10.300","14.760","29.49","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","72.5","10.325","14.785","29.45","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","75.0","10.350","14.810","28.41","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
"390C","U1557","B","2","H","5","","77.5","10.375","14.835","24.87","2020-11-02 05:52:10","MS3-V0.0.0.0-0656","WRMSL","SECT10854821","118809001","","",""
